,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
203028,GMTUSDT_15m_orders.xlsx,GMTUSDT,15m,bearish_divergence_below_rsi40,2,3.76,1.3894,23/05/2022 02:15,1653272099999,1.449,1653293699999,0,-3.76,1,4
210613,HBARUSDT_15m_orders.xlsx,HBARUSDT,15m,bearish_divergence_below_rsi40,2,2.84,0.10264,23/05/2022 02:15,1653272099999,0.10577,1653288299999,0,-2.84,1,5
255708,LINAUSDT_15m_orders.xlsx,LINAUSDT,15m,bearish_divergence_below_rsi40,2,6.66,0.01009,23/05/2022 02:15,1653272099999,0.00974,1653311699999,1,2.0,1,6
269567,LRCUSDT_15m_orders.xlsx,LRCUSDT,15m,bearish_divergence_below_rsi40,2,4.1,0.4959,23/05/2022 02:15,1653272099999,0.5178,1653288299999,0,-4.1,1,7
409578,TOMOUSDT_15m_orders.xlsx,TOMOUSDT,15m,bearish_divergence_below_rsi40,2,3.75,0.5721,23/05/2022 02:15,1653272099999,0.5975,1653286499999,0,-3.75,1,8
17307,ALGOUSDT_15m_orders.xlsx,ALGOUSDT,15m,bearish_divergence_below_rsi40,2,3.03,0.4348,23/05/2022 02:30,1653272999999,0.4506,1653290999999,0,-3.03,1,9
318018,ONEUSDT_15m_orders.xlsx,ONEUSDT,15m,bearish_divergence_below_rsi40,2,4.04,0.04865,23/05/2022 02:30,1653272999999,0.05085,1653286499999,0,-4.04,1,10
443809,XLMUSDT_15m_orders.xlsx,XLMUSDT,15m,bearish_divergence_below_rsi40,2,2.41,0.13396,23/05/2022 02:30,1653272999999,0.13766,1653290999999,0,-2.41,0,-1
259388,LINKUSDT_15m_orders.xlsx,LINKUSDT,15m,bearish_divergence_below_rsi40,2,2.74,7.211,23/05/2022 03:00,1653274799999,7.418,1653286499999,0,-2.74,0,-1
287343,MKRUSDT_15m_orders.xlsx,MKRUSDT,15m,bearish_divergence_below_rsi40,2,2.72,1409.1,23/05/2022 03:30,1653276599999,1448.5,1653291899999,0,-2.72,0,-1
236639,IOTXUSDT_15m_orders.xlsx,IOTXUSDT,15m,bearish_divergence_below_rsi40,2,6.64,0.0412,23/05/2022 04:15,1653279299999,0.04028,1653282899999,1,2.0,0,-1
361352,SANDUSDT_15m_orders.xlsx,SANDUSDT,15m,bearish_divergence_below_rsi40,2,3.34,1.3965,23/05/2022 13:30,1653312599999,1.3683,1653315299999,1,2.0,-1,-1
