,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
353680,RUNEUSDT_15m_orders.xlsx,RUNEUSDT,15m,bearish_divergence_1-3,2,2.21,7.628,14/08/2021 19:00,1628967599999,7.379,1628972999999,1,2.0,1,1
306422,OCEANUSDT_15m_orders.xlsx,OCEANUSDT,15m,bearish_divergence_1-3,2,2.2,0.71311,15/08/2021 00:15,1628986499999,0.6942,1628988299999,1,2.0,1,1
231631,IOTAUSDT_15m_orders.xlsx,IOTAUSDT,15m,bearish_divergence_1-3,2,2.25,1.1423,15/08/2021 00:45,1628988299999,1.1808,1628991899999,0,-2.25,1,2
373728,SNXUSDT_15m_orders.xlsx,SNXUSDT,15m,bearish_divergence_1-3,2,3.38,12.984,15/08/2021 01:30,1628990999999,12.687,1628998199999,1,2.0,1,2
454454,XRPUSDT_15m_orders.xlsx,XRPUSDT,15m,bearish_divergence_1-3,2,1.14,1.2971,15/08/2021 01:30,1628990999999,1.325,1628991899999,0,-1.14,1,3
55857,BAKEUSDT_15m_orders.xlsx,BAKEUSDT,15m,bearish_divergence_1-3,2,3.27,2.709,15/08/2021 01:45,1628991899999,2.804,1628995499999,0,-3.27,1,4
418485,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bearish_divergence_1-3,2,1.75,0.09368,15/08/2021 02:15,1628993699999,0.09179,1629000899999,1,2.0,1,3
454456,XRPUSDT_15m_orders.xlsx,XRPUSDT,15m,bearish_divergence_1-3,2,1.9,1.3243,15/08/2021 03:30,1628998199999,1.282,1629000899999,1,2.0,1,3
353682,RUNEUSDT_15m_orders.xlsx,RUNEUSDT,15m,bearish_divergence_1-3,2,2.63,8.107,15/08/2021 04:00,1628999999999,8.38,1629003599999,0,-2.63,1,3
239920,KAVAUSDT_15m_orders.xlsx,KAVAUSDT,15m,bearish_divergence_1-3,2,5.33,6.5669,15/08/2021 15:00,1629039599999,6.3406,1629072899999,1,2.0,1,1
59008,BALUSDT_15m_orders.xlsx,BALUSDT,15m,bearish_divergence_1-3,2,1.88,28.241,16/08/2021 00:30,1629073799999,28.8,1629073799999,0,-1.88,1,1
383132,SRMUSDT_15m_orders.xlsx,SRMUSDT,15m,bearish_divergence_1-3,2,5.33,6.073,16/08/2021 03:15,1629083699999,6.457,1629087299999,0,-5.33,1,1
422925,UNFIUSDT_15m_orders.xlsx,UNFIUSDT,15m,bearish_divergence_1-3,2,1.45,13.797,16/08/2021 06:15,1629094499999,14.078,1629098999999,0,-1.45,-1,-1
41289,ATOMUSDT_15m_orders.xlsx,ATOMUSDT,15m,bearish_divergence_1-3,2,2.01,15.922,16/08/2021 06:30,1629095399999,16.262,1629098999999,0,-2.01,-1,-1
132895,CVCUSDT_15m_orders.xlsx,CVCUSDT,15m,bearish_divergence_1-3,2,2.32,0.34604,16/08/2021 06:30,1629095399999,0.3557,1629101699999,0,-2.32,-1,-1
231636,IOTAUSDT_15m_orders.xlsx,IOTAUSDT,15m,bearish_divergence_1-3,2,1.93,1.1759,16/08/2021 06:30,1629095399999,1.209,1629098999999,0,-1.93,-1,-1
443446,XLMUSDT_15m_orders.xlsx,XLMUSDT,15m,bearish_divergence_1-3,2,2.6,0.4001,16/08/2021 06:30,1629095399999,0.38902,1629121499999,1,2.0,-1,-1
472542,ZENUSDT_15m_orders.xlsx,ZENUSDT,15m,bearish_divergence_1-3,2,2.15,73.555,16/08/2021 06:30,1629095399999,76.522,1629108899999,0,-2.15,-1,-1
186706,FILUSDT_15m_orders.xlsx,FILUSDT,15m,bearish_divergence_1-3,2,1.53,73.853,16/08/2021 07:00,1629097199999,75.666,1629107999999,0,-1.53,-1,-1
476585,ZILUSDT_15m_orders.xlsx,ZILUSDT,15m,bearish_divergence_1-3,2,1.48,0.11405,16/08/2021 07:00,1629097199999,0.11588,1629112499999,0,-1.48,-1,-1
123370,CRVUSDT_15m_orders.xlsx,CRVUSDT,15m,bearish_divergence_1-3,2,1.7,2.253,16/08/2021 07:15,1629098099999,2.175,1629121499999,1,2.0,-1,-1
115353,COMPUSDT_15m_orders.xlsx,COMPUSDT,15m,bearish_divergence_1-3,2,1.77,511.64,16/08/2021 07:45,1629099899999,530.3,1629103499999,0,-1.77,-1,-1
398866,SXPUSDT_15m_orders.xlsx,SXPUSDT,15m,bearish_divergence_1-3,2,1.26,3.5386,16/08/2021 08:15,1629101699999,3.4133,1629121499999,1,2.0,-1,-1
41291,ATOMUSDT_15m_orders.xlsx,ATOMUSDT,15m,bearish_divergence_1-3,2,1.07,16.129,16/08/2021 08:30,1629102599999,16.342,1629104399999,0,-1.07,-1,-1
59011,BALUSDT_15m_orders.xlsx,BALUSDT,15m,bearish_divergence_1-3,2,1.42,28.961,16/08/2021 08:30,1629102599999,27.645,1629121499999,1,2.0,-1,-1
189840,FLMUSDT_15m_orders.xlsx,FLMUSDT,15m,bearish_divergence_1-3,2,1.77,0.6098,16/08/2021 09:30,1629106199999,0.6297,1629110699999,0,-1.77,-1,-1
277643,MANAUSDT_15m_orders.xlsx,MANAUSDT,15m,bearish_divergence_1-3,2,1.58,0.9042,16/08/2021 12:00,1629115199999,0.8838,1629120599999,1,2.0,-1,-1
68476,BATUSDT_15m_orders.xlsx,BATUSDT,15m,bearish_divergence_1-3,2,1.41,0.8161,16/08/2021 12:15,1629116099999,0.7938,1629121499999,1,2.0,-1,-1
338503,RENUSDT_15m_orders.xlsx,RENUSDT,15m,bearish_divergence_1-3,2,1.46,0.53799,16/08/2021 12:15,1629116099999,0.52037,1629121499999,1,2.0,-1,-1
409125,TOMOUSDT_15m_orders.xlsx,TOMOUSDT,15m,bearish_divergence_1-3,2,1.61,3.1053,16/08/2021 12:15,1629116099999,3.0282,1629121499999,1,2.0,-1,-1
